Category,Item/Action,Specification/Description,Manufacturer,Model #,Quantity,Unit,Source Page(s),Source Location(s)
Plumbing,Kitchen Faucet,HOLBORN - CHROME,PERRIN & ROWE,U3404L-APC-2,1,EA,A-600.00,Plumbing Schedule PL-1 FAUCET
Plumbing,Soap Dispenser,CHROME,PERRIN & ROWE,NOT SPECIFIED,1,EA,A-600.00,Plumbing Schedule PL-1 SOAP DISPENSER
Plumbing,Glass Washer/Rinser,Metal Glass Rinser in Chrome - PROVIDED BY GC,DELTA OR APPROVED EQUAL,GR-250,1,EA,A-600.00,Plumbing Schedule PL-1 GLASS WASHER/RINSER
Plumbing,Lavatory & Vanity,WHITE/GLASS - PROVIDED BY BOTTEGA,BOTTEGA,NOT SPECIFIED,1,EA,A-600.00,Plumbing Schedule PL-2 LAV & VANITY
Plumbing,Lavatory Faucet,CHROME - SINGLE HOLE,FANTINI,F3402F004WU,1,EA,A-600.00,Plumbing Schedule PL-2 FAUCET
Plumbing,Sink Drain,1 1/4",FANTINI,F910,1,EA,A-600.00,Plumbing Schedule PL-2 SINK DRAIN
Plumbing,Toilet,LEGATO - WHITE,TOTO,MS624124CEFG 01,1,EA,A-600.00,Plumbing Schedule PL-2 TOILET
Plumbing,Shower Therm Mixer Rough,CHROME,FANTINI,19 00 D400AU,1,EA,A-600.00,Plumbing Schedule PL-2 SHOWER THERM ROUGH
Plumbing,Shower Therm Mixer Trim,ICONA DECO - 8.9/7.6GPM,FANTINI,87 02 R700BU,1,EA,A-600.00,Plumbing Schedule PL-2 SHOWER THERM TRIM
Plumbing,Shower 2Way Diverter Rough,CHROME,FANTINI,1900D391AU,1,EA,A-600.00,Plumbing Schedule PL-2 SHWR 2WAY DIVERTER ROUGH
Plumbing,Shower 2Way Diverter Trim,ICONA CLASSIC,FANTINI,53 02 R591BU,1,EA,A-600.00,Plumbing Schedule PL-2 SHWR 2WAY DIVERTER TRIM
Plumbing,Shower Arm,CHROME,FANTINI,86 02 9236U,1,EA,A-600.00,Plumbing Schedule PL-2 SHOWER ARM
Plumbing,Shower Head,CHROME - 1.8GPM,FANTINI,87 02 8135UC,1,EA,A-600.00,Plumbing Schedule PL-2 SHOWER HEAD
Plumbing,Shower Hand Held Option 1,ICONA CLASSIC SET,FANTINI,53 02 R043U,1,EA,A-600.00,Plumbing Schedule PL-2 SHOWER HAND HELD OPTION 1
Plumbing,Shower Hand Held Option 2,VENEZIA with HOSE 90 02 9349 WALL MOUNT 91 02 9323U,FANTINI,90 02 9849U,1,EA,A-600.00,Plumbing Schedule PL-2 SHOWER HAND HELD OPTION 2
Plumbing,Shower Hand Held Option 3,SOHO with HOSE 90 93 9349 WALL MOUNT 91 02 9323U,FANTINI,90 02 9418U,1,EA,A-600.00,Plumbing Schedule PL-2 SHOWER HAND HELD OPTION 3
Plumbing,Shower Pan,ALCOVE - 30"X60",MTI,ALCOVE / TBD,1,EA,A-600.00,Plumbing Schedule PL-2 SHOWER PAN
Plumbing,Shower Drain,5"X5",INFINITY DRAIN,LDQ 5-2I,1,EA,A-600.00,Plumbing Schedule PL-2 SHOWER DRAIN
Plumbing,Medicine Cabinet,30" X 4"X 29" - PROVIDED BY BOTTEGA CABINETS,BOTTEGA,TBD,1,EA,A-600.00,Plumbing Schedule PL-2 MEDICINE CABINET
Plumbing,Towel Rod,RE-USE EXISTING,RE-USE EXISTING,EXISTING,2,EA,A-600.00,Plumbing Schedule PL-2 TOWEL ROD
Plumbing,T.T. Dispenser,RE-USE EXISTING,RE-USE EXISTING,EXISTING,1,EA,A-600.00,Plumbing Schedule PL-2 T.T. DISPENSER
Plumbing,Robe Hook,TBD,TBD,TBD,2,EA,A-600.00,Plumbing Schedule PL-2 ROBE HOOK
Plumbing,Grab Bar,24" CHROME,KARTNERS,52591124,1,EA,A-600.00,Plumbing Schedule PL-2 GRAB BAR
Demolition,Remove Kitchen Cabinetry,REMOVE KITCHEN CABINETRY SOFFIT SINK COUNTER AND WALL & FLOOR FINISHES,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-100.00,Demolition Key Notes D1
Demolition,Remove Spiral Stair,REMOVE SPIRAL STAIR AND PORTION OF LANDING PLATFORM; PROTECT/ SALVAGE EXISTING CARPET AT LANDING,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-100.00,Demolition Key Notes D2
Demolition,Remove Bathroom Vanity,REMOVE BATHROOM VANITY WALL & FLOOR FINISHES; SAVE ACCESSORIES - TOWEL ROD AND T.T. DISPENSER,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-100.00,Demolition Key Notes D3
Demolition,Remove Window,REMOVE WINDOW AND UPPER PORTION OF WALL ONLY,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-100.00,Demolition Key Notes D4
Demolition,Remove Storage Shelving,CAREFULLY REMOVE STORAGE SHELVING ALONG SHARED WALL; SAVE FOR RE-USE,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-100.00,Demolition Key Notes D5
Demolition,Remove Light Fixture,REMOVE LIGHT FIXTURE,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-100.00,Demolition Key Notes D6
Demolition,Remove/Relocate Vent Louver,REMOVE/RELOCATE EXISTING VENT LOUVER,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-100.00,Demolition Key Notes D7
Demolition,Remove Plumbing Fixtures,REMOVE EXIST. PLUMBING FIXTURES,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-100.00,Demolition Key Notes D20
Demolition,Remove Kitchen Appliances,DISCONNECT AND REMOVE EXIST. KITCHEN APPLIANCES; SAVE AND PROTECT GAS OVEN AND REFRIGERATOR FOR RE-USE,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-100.00,Demolition Key Notes D21
Demolition,Remove Washer and Dryer,DISCONNECT AND REMOVE EXIST. WASHER AND DRYER; SAVE AND PROTECT WASHER AND DRYER FOR RE-INSTALLATION,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-100.00,Demolition Key Notes D22
Demolition,Remove Ceiling Fan,REMOVE SAVE AND PROTECT EXISTING CEILING FAN FOR RE-INSTALLATION,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-100.00,Demolition Key Notes D23
Demolition,Remove Exhaust Fan,REMOVE EXIST. NON-FUNCTIONING EXHAUST FAN,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-100.00,Demolition Key Notes D24
Demolition,Remove Lighting Fixture,REMOVE AND SAVE EXISTING LIGHTING FIXTURE,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-100.00,Demolition Key Notes D25
Construction,Install Kitchen Cabinetry,INSTALL NEW KITCHEN CABINETRY,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-101.00,Construction Key Notes 1
Construction,Install New Appliances,INSTALL NEW APPLIANCES (SEE APPLIANCE SCHEDULE),NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-101.00,Construction Key Notes 2
Construction,Install Bath Finishes,INSTALL NEW BATH FINISHES (SEE FINISH SCHEDULE),NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-101.00,Construction Key Notes 3
Construction,Wood Blocking for Grab Bar,PROVIDE WOOD BLOCKING FOR GRAB BAR INSTALLATION,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-101.00,Construction Key Notes 4
Construction,Install Interior Window,INSTALL NEW INTERIOR WINDOW,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-101.00,Construction Key Notes 5
Construction,Frame Platform Landing,FRAME NEW PLATFORM LANDING AND PROVIDE NEW STAIR AND METAL BALUSTER/ WOOD HANDRAIL; REINFORCE EXISTING WALL FOR FUTURE STIAR LIFT,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-101.00,Construction Key Notes 6
Construction,Install Tile Floor,INSTALL NEW TILE FLOOR,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-101.00,Construction Key Notes 7
Construction,Refinish Window Sill,REFINSH WINDOW SILL TO MATCH NEW FLOOR FINISH,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-101.00,Construction Key Notes 8
Construction,Refinish Steps,STEPS TO BE REFINISHED TO MATCH NEW FLOOR FINISH/STAIN AT WOOD FLOORS,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-101.00,Construction Key Notes 9
Construction,Frame/Finish New Opening,FRAME/FINISH NEW OPENING AND INSTALL NEW MILLWORK DOORS AND TRIM (FINISH MATERIALS FROM BOTTEGA),NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-101.00,Construction Key Notes 10
Construction,Frame/Finish Shower Ledge,FRAME/FINISH NEW LEDGE AT SHOWER - COORDINATE FIN. HEIGHT WITH HGT. OF KIT. CABINETS,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-101.00,Construction Key Notes 11
Construction,Frame Opening for Garage Cabinet,FRAME NEW OPENING FOR GARAGE CABINET,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-101.00,Construction Key Notes 12
Construction,Re-install Storage Shelving,RE-INSTALL EXIST. STORAGE SHELVING,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-101.00,Construction Key Notes 13
Construction,Install Shower Foot Rest,INSTALL SHOWER SHAVING FOOT REST (ST-2) REFER TO ELEVATION DRAWINGS,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-101.00,Construction Key Notes 14
Construction,Install Plumbing Fixtures,INSTALL NEW PLUMBING FIXTURES - SEE PLUMBING SCHEDULE,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-101.00,Construction Key Notes 30
Construction,Re-install Washer & Dryer,RE-INSTALL EXISTING WASHER & DRYER,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-101.00,Construction Key Notes 31
Construction,GFCI Plug Mold,PROVIDE CONTINUOUS GFCI PLUG MOLD AT UNDERSIDE OF CABINETRY,NOT SPECIFIED,NA,NOT SPECIFIED,LF,A-101.00,Construction Key Notes 32
Construction,Maintain Sprinkler Head,MAINTAIN SPRINKLER HEAD AT FACE OF NEW SOFFIT,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-101.00,Construction Key Notes 33
Construction,Install Exhaust Fan,INSTALL NEW EXHAUST FAN -75 CFM AT .025" STATIC PRESSURE; PANASONIC FV0511VKS3S OR APPROVED EQUAL,PANASONIC,FV0511VKS3S,1,EA,A-101.00,Construction Key Notes 35
Construction,Louver and Ductwork,LOUVER AND DUCTWORK TO EXTEND TO NEW WALL LOCATION,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-101.00,Construction Key Notes 36
Framing,3 5/8" Metal Studs,3 5/8" MIN. 25 GA. STL STUDS @ MAX. 24 IN. O.C.,NOT SPECIFIED,NA,NOT SPECIFIED,LF,A-101.00,Wall Type 1 UL U419 Partition
Framing,2 1/2" Metal Studs,2 1/2" MIN. 25 GA. STL STUDS @ MAX. 24 IN. O.C.,NOT SPECIFIED,NA,NOT SPECIFIED,LF,A-101.00,Wall Type 2 GWB Partition
Framing,Furring Channels,FURRING CHANNELS,NOT SPECIFIED,NA,NOT SPECIFIED,LF,A-101.00,Wall Type 3 Existing Wall with GYP BD Furring
Insulation,Roxul AFB Insulation,ROXUL AFB INSULATION,ROXUL,AFB,NOT SPECIFIED,SF,A-101.00,Wall Types 1 2 3
Insulation,Plumbing Line Insulation,WRAP INSUL. AROUND ALL PLUMBING LINES BELOW COUNTER,NOT SPECIFIED,NA,NOT SPECIFIED,LF,A-200.00,Kitchen Elevation
Insulation,Domestic Water Line Insulation,ALL DOMESTIC HOT AND WATER LINES TO BE INSULATED,NOT SPECIFIED,NA,NOT SPECIFIED,LF,P-100.00,Plumbing General Notes 1
Wallboard,5/8" Gypsum Board,5/8" THICK GYPSUM BOARD APPLIED VERTICALLY OR HORIZONTALLY,NOT SPECIFIED,NA,NOT SPECIFIED,SF,A-101.00,Wall Types 1 2 3
Wallboard,Cement Board,5/8" CEMENT BOARD - CONTINUOUS REINFORCED,NOT SPECIFIED,NA,NOT SPECIFIED,SF,A-500.00,Shower Pan Detail
Wallboard,Moisture Resistant Wallboard,MOLD AND MOISTURE RESISTANT WALLBOARD AT ALL OTHER WET LOCATIONS,NOT SPECIFIED,NA,NOT SPECIFIED,SF,A-101.00,Wall Types Note
Waterproofing,Laticrete 9235 Membrane,LATICRETE 9235 WATERPROOFING MEMBRANE,LATICRETE,9235,NOT SPECIFIED,SF,A-500.00,Waterproofing Details
Waterproofing,Laticrete Hydroban,LATICRETE HYDROBAN WATERPROOFING OR APPROVED EQUAL,LATICRETE,HYDROBAN,NOT SPECIFIED,SF,A-500.00,Shower Pan Detail
Waterproofing,Laticrete 254 Platinum,LATICRETE 254 PLATINUM (grout),LATICRETE,254 PLATINUM,NOT SPECIFIED,LB,A-500.00,Tile Floor at Tile Wall Detail
Waterproofing,Laticrete 226 Mortar,LATICRETE 226 THICK BED MORTAR MIXED WITH LATICRETE 3701 MORTAR ADMIX,LATICRETE,226,NOT SPECIFIED,BAG,A-500.00,Tile Floor at Tile Wall Detail
Waterproofing,Laticrete 3701 Admix,LATICRETE 3701 MORTAR ADMIX,LATICRETE,3701,NOT SPECIFIED,BAG,A-500.00,Tile Floor at Tile Wall Detail
Waterproofing,Laticrete Latasil,LATICRETE LATASIL (sealant),LATICRETE,LATASIL,NOT SPECIFIED,TUBE,A-500.00,Tile Floor at Tile Wall Detail
Sealants,Acoustical Sealant,ACOUSTICAL SEALANT AND FIRESTOPPING AS REQ'D AT TOP AND BOTTOM,NOT SPECIFIED,NA,NOT SPECIFIED,TUBE,A-101.00,Wall Types 1 2
Sealants,Silicone Sealant,SILICONE SEALANT,NOT SPECIFIED,NA,NOT SPECIFIED,TUBE,A-500.00,Shower Pan Detail
Sealants,Vinyl Bead,VINYL BEAD,NOT SPECIFIED,NA,NOT SPECIFIED,LF,A-500.00,Tile Flooring Detail
Electrical,Track Lighting,TRACK LIGHTING,NOT SPECIFIED,L-3A L-3B L-3C,NOT SPECIFIED,EA,A-110.00,Ceiling Lighting Plan
Electrical,Recessed Down Light,RECESSED DOWN LIGHT FIXTURE,NOT SPECIFIED,L-1 L-4 L-5,NOT SPECIFIED,EA,A-110.00,Ceiling Lighting Plan
Electrical,Sconce Fixture,SCONCE FIXTURE,NOT SPECIFIED,L-2,NOT SPECIFIED,EA,A-110.00,Ceiling Lighting Plan
Electrical,Linear Fixture,LINEAR FIXTURE,NOT SPECIFIED,L-6,NOT SPECIFIED,EA,A-110.00,Ceiling Lighting Plan
Electrical,Under Cabinet Light,UNDER CABINET LIGHT FIXTURE,NOT SPECIFIED,L-7,NOT SPECIFIED,EA,A-110.00,Ceiling Lighting Plan
Electrical,Round Light Fixture,ROUND LIGHT FIXTURE,NOT SPECIFIED,L-8,NOT SPECIFIED,EA,A-110.00,Ceiling Lighting Plan
Electrical,GFCI Outlets,GFCI OUTLETS AS REQUIRED BY CODE,NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-110.00,Electrical General Notes
Electrical,New Quad Outlet,NEW QUAD OUTLET,NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-110.00,Power Plan
Electrical,New Dedicated Outlet,NEW DEDICATED OUTLET,NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-110.00,Power Plan
Electrical,Switches,SWITCHES (S SE SZ SD),NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-110.00,Power Plan
Millwork Components,Pull-out Trash Bin,TRASH BIN/RECYCLE PULL-OUT,NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-200.00,Kitchen Elevation 1
Millwork Components,Vertical Sliding Door,VERTICAL SLIDING DOOR,NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-200.00,Kitchen Elevation 1
Millwork Components,Pull-out Spice Cabinet,PULL-OUT CAB. (SPICES),NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-200.00,Kitchen Elevation 1
Millwork Components,Drying Racks,DRYING RACKS FOR DISH/GLASSWARE,NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-200.00,Kitchen Elevation 1
Millwork Components,Touch Latch Door,TOUCH LATCH DOOR (NO PULL-OUT),NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-200.00,Kitchen Elevation 2
Millwork Components,Shallow Storage Cabinet,SHALLOW STORAGE CAB. WITH ADJ. SHELV'G.,NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-200.00,Kitchen Elevation 2
Millwork Components,Pull-out Accessory,PULL-OUT ACCESSORY,NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-200.00,Kitchen Elevation 2
Millwork Components,Adjustable Shelves,ADJ. SHELVES TYP.,NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-200.00,Kitchen Elevation 2
Millwork Components,Pull-out Stool,PULL-OUT STOOL,NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-200.00,Kitchen Elevation 3
Millwork Components,Pot & Pans Drawers,POT & PANS DRAWERS,NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-200.00,Kitchen Elevation 3
Millwork Components,Magic Corner Pull-out,MAGIC CORNER PULL-OUT,NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-200.00,Kitchen Elevation 3
Millwork Components,Cove Lighting Shelves,ADJ. SHELVES W/COVE LIGHTING,NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-200.00,Kitchen Elevation 3
Millwork Components,Tray/Board Pull Out,TRAY/BOARD PULL OUT,NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-200.00,Kitchen Elevation 3
Millwork Components,Knee Well,KNEE WELL (OPEN),NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-200.00,Kitchen Elevation 3
Millwork Components,Lacquered Shelves,ADJ. LACQUERED SHELVES,NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-200.00,Kitchen Elevation 3
Millwork Components,Recessed Base,RECESSED BASE,NOT SPECIFIED,NA,NOT SPECIFIED,LF,A-200.00,Kitchen Elevation 3
Millwork Components,Floating Shelves,FLOATING SHELVES (VIF LOCATION),NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-200.00,Kitchen Elevation 3
Millwork Components,Recessed Storage Cabinet,RECESSED STORAGE CAB. (VIF),NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-200.00,Bath Elevation
Millwork Components,Glass Bypass Doors,GLASS BY PASS SHOWER DOORS,NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-200.00,Bath Elevation
Millwork Components,Shower Caddy,RE-INSTALL EXIST. SHOWER CADDY,EXISTING,NA,NOT SPECIFIED,EA,A-200.00,Bath Elevation
Hardware,Metal Baluster,METAL BALUSTER/ WOOD HANDRAIL,NOT SPECIFIED,NA,NOT SPECIFIED,LF,A-101.00,Construction Key Notes 6
Hardware,Wood Handrail,WOOD HANDRAIL,NOT SPECIFIED,NA,NOT SPECIFIED,LF,A-101.00,Construction Key Notes 6
Hardware,Joist Block Hanger,JOIST BLOCK 1/2" HANGER,NOT SPECIFIED,NA,NOT SPECIFIED,EA,A-500.00,Staircase Detail
Hardware,Welded Wire Mesh,WELDED WIRE MESH,NOT SPECIFIED,NA,NOT SPECIFIED,SF,A-500.00,Tile Flooring Detail
Hardware,S/S Angle,S/S ANGLE,NOT SPECIFIED,NA,NOT SPECIFIED,LF,A-500.00,Shower Pan Detail
Hardware,Shut-off Valves,NEW BALL VALVES,NOT SPECIFIED,NA,NOT SPECIFIED,EA,P-100.00,Plumbing General Notes 18
Hardware,Dielectric Unions,DIELECTRIC UNIONS WITH APPROPRIATE END CONNECTIONS,NOT SPECIFIED,NA,NOT SPECIFIED,EA,P-100.00,Plumbing General Notes 7
Hardware,Vacuum Breakers,PRESSURE TYPE VACUUM BREAKERS,NOT SPECIFIED,NA,NOT SPECIFIED,EA,P-100.00,Plumbing General Notes 5
Hardware,Water Hammer Arrestors,WATER HAMMER ARRESTORS FOR HOT AND COLD WATER,NOT SPECIFIED,NA,NOT SPECIFIED,EA,P-100.00,Plumbing General Notes 5
Hardware,Automatic Shut-off Valve,AUTOMATIC SHUT OFF VALVE AND OVERFLOW SENSOR,NOT SPECIFIED,NA,NOT SPECIFIED,EA,P-100.00,Plumbing General Notes 3
Hardware,Copper Tubing,COPPER TUBING WITH FLARED ENDS AND BRASS BUSHINGS,NOT SPECIFIED,NA,NOT SPECIFIED,LF,P-100.00,Plumbing General Notes 15
Hardware,Brass Compression Fittings,BRASS COMPRESSION FITTINGS,NOT SPECIFIED,NA,NOT SPECIFIED,EA,P-100.00,Plumbing General Notes 15
Labor,Skim Sand and Paint,SKIM SAND AND PAINT ALL WALLS & CEILINGS THROUGHOUT - SEE FINISH SCHEDULE,NOT SPECIFIED,NA,NOT SPECIFIED,SF,A-101.00,General Notes 6
Labor,Wood Floor Refinishing,ALL WOOD FLOORS TO BE REFINISHED STAINED AND SEALED; SAMPLES REQUIRED FOR APPROVAL,NOT SPECIFIED,NA,NOT SPECIFIED,SF,A-101.00,General Notes 7
Labor,Surface Preparation,REMOVE EXISTING FINISHES AT AREAS INDICATED. PREPARE SURFACES TO RECEIVE NEW FINISHES,NOT SPECIFIED,NA,NOT SPECIFIED,SF,A-100.00,General Notes 3
Labor,Temporary Capping,REMOVE EXISTING PLUMBING FIXTURES AS INDICATED TEMPORARY CAP AS REQ'D,NOT SPECIFIED,NA,NOT SPECIFIED,LS,A-100.00,General Notes 2
Labor,Verify in Field,VERIFY IN FIELD (V.I.F.) - Multiple locations,NOT SPECIFIED,NA,NOT SPECIFIED,LS,Multiple,Multiple locations
Labor,Field Coordination,EXACT LOCATION TO BE COORDINATED IN FIELD,NOT SPECIFIED,NA,NOT SPECIFIED,LS,P-100.00,Plumbing Key Notes 6
Labor,Pressure Testing,PRESSURE TESTING AS MANDATED BY CODE,NOT SPECIFIED,NA,NOT SPECIFIED,LS,P-100.00,Plumbing General Notes 12
Labor,Waste Line Inspection,PLUMBER MUST CHECK EXISTING WASTE LINES FOR OBSTRUCTIONS,NOT SPECIFIED,NA,NOT SPECIFIED,LS,P-100.00,Plumbing General Notes 17

