Category,Item,Description,Location,Specification,Quantity,Unit,Cost
Paint,Kitchen Garage Paint PT-5,Paint kitchen garage,Kitchen,Benjamin Moore #678 Pacific Rim Green matte,20,SF,
Countertops,Kitchen Counter ST-1,Kitchen countertop,Kitchen,Silestone 1-1/4" thick white with veining polished squared edges,28,SF,
Countertops,Bath Shelf ST-2,Bathroom shelf/niche,Bathroom,Thassos white or approved equal,3,SF,
Base,Wall Base B-1,Painted wood wall base,Various Locations,To match existing,180,LF,
Base,Bath Wall Base B-2,Bath wall base bullnose,Bathroom,Nemo Retroactive 2.0 6x18 snowblind/UPS,24,LF,
Waterproofing,Laticrete 9235 Membrane,Waterproof membrane,Bathroom & Kitchen,Under all wet areas,160,SF,
Waterproofing,Laticrete Hydroban,Hydroban waterproofing,Bathroom,6" up adjacent walls,80,SF,
Waterproofing,Laticrete 254 Platinum,Platinum grout,Tiled Areas,For all tile installations,12,LB,
Waterproofing,Laticrete 226 Mortar,Thick bed mortar with 3701 admix,Bathroom Floor,Minimum 2" thick wire reinforced,35,SF,
Waterproofing,Laticrete Latasil,Latasil sealant,All Wet Areas,Perimeter sealing,8,TUBE,
Millwork,Kitchen Cabinets M-1,Upper and lower kitchen cabinets,Kitchen,Bottega full overlay white lacquer finish,1,LS,
Millwork,Kitchen Cabinets M-2,Wood veneer kitchen cabinets,Kitchen,Bottega full overlay oak wood veneer,1,LS,
Millwork,Closet Doors M-3,Laundry closet doors,Laundry Closet,Bottega full overlay oak wood veneer,1,PR,
Millwork,Trash Pull-Out,Trash bin/recycle pull-out,Kitchen,Built into cabinetry,1,EA,
Millwork,Spice Pull-Out,Pull-out spice cabinet,Kitchen,Vertical sliding door,1,EA,
Millwork,Dish Drying Racks,Drying racks for dish/glassware,Kitchen,Built into upper cabinets,2,EA,
Millwork,Magic Corner Pull-Out,Magic corner pull-out,Kitchen,Corner cabinet solution,1,EA,
Millwork,Tray Pull-Out,Tray/board pull-out,Kitchen,Under counter storage,1,EA,
Millwork,Adjustable Shelves,Adjustable shelves with cove lighting,Kitchen,Multiple locations,8,EA,
Appliances,Dishwasher,Miele dishwasher,Kitchen,Miele G4472SCVI 18"x24"x34" panel ready,1,EA,
Appliances,Exhaust Fan,Panasonic exhaust fan,Bathroom,FV0511VKS3S 75 CFM at 0.025" static pressure,1,EA,
Plumbing,Kitchen Sink,Farmhouse kitchen sink,Kitchen,Signature Hardware 30" Rowena single basin #SHF30127 white,1,EA,
Plumbing,Kitchen Faucet,Kitchen faucet,Kitchen,Perrin & Rowe U.4045L-APC-2 Holborn chrome,1,EA,
Plumbing,Soap Dispenser,Kitchen soap dispenser,Kitchen,Perrin & Rowe,1,EA,
Plumbing,Glass Rinser,Glass washer/rinser,Kitchen,Delta GR-250 chrome,1,EA,
Plumbing,Bathroom Lavatory,Lavatory and vanity,Bathroom,Bottega white/glass,1,EA,
Plumbing,Bathroom Faucet,Single hole lavatory faucet,Bathroom,Fantini F3402F004WU chrome,1,EA,
Plumbing,Sink Drain,Lavatory drain,Bathroom,Fantini F910 1-1/4" universal pop-up drain,1,EA,
Plumbing,Toilet,Toilet,Bathroom,Toto Legato white,1,EA,
Plumbing,Shower Mixer Rough,Thermostatic shower mixer rough,Bathroom,Fantini 1900D400AU chrome,1,EA,
Plumbing,Shower Mixer Trim,Thermostatic shower mixer trim,Bathroom,Fantini/Icona Deco 8702R700BU 8.9/7.6 GPM,1,EA,
Plumbing,Shower Diverter Rough,2-way diverter with volume control rough,Bathroom,Fantini 1900D391AU chrome,1,EA,
Plumbing,Shower Diverter Trim,2-way diverter with volume control trim,Bathroom,Fantini/Icona Classic 5302R791BU,1,EA,
Plumbing,Shower Arm,Shower arm,Bathroom,Fantini 8602923GU chrome,1,EA,
Plumbing,Shower Head,Shower head,Bathroom,Fantini 7502713GUC 1.8 GPM chrome,1,EA,
Plumbing,Hand Shower,Hand held shower,Bathroom,Fantini Icona Classic/Venezia/Soho options,1,EA,
Plumbing,Shower Pan,Acrylic shower pan,Bathroom,MTI Alcove 30"x50",1,EA,
Plumbing,Shower Drain,Linear shower drain,Bathroom,ID Infinity Drain LDQ 5-2I 5"x5",1,EA,
Plumbing,Medicine Cabinet,Recessed medicine cabinet,Bathroom,Bottega 30"x4"x29",1,EA,
Plumbing,Towel Rods,Towel rods,Bathroom,Re-use existing,2,EA,
Plumbing,TP Dispenser,Toilet paper dispenser,Bathroom,Re-use existing,1,EA,
Plumbing,Robe Hooks,Robe hooks,Bathroom,TBD,2,EA,
Plumbing,Grab Bar,ADA grab bar,Bathroom,Kartners 72791124 24" chrome,1,EA,
Plumbing,Hot Water Piping,Hot water supply piping,Throughout,New copper piping to risers,120,LF,
Plumbing,Cold Water Piping,Cold water supply piping,Throughout,New copper piping to risers,120,LF,
Plumbing,Waste Piping,Waste and vent piping,Bathroom & Kitchen,New connections to existing risers,80,LF,
Plumbing,Shut-Off Valves,Water shut-off valves,Various Locations,At each connection to building lines,8,EA,
Plumbing,Water Hammer Arrestors,Water hammer arrestors,Supply Lines,For hot and cold water,6,EA,
Plumbing,Vacuum Breakers,Pressure type vacuum breakers,Supply Lines,Backflow prevention,4,EA,
Plumbing,Dielectric Unions,Dielectric unions,Connections,For dissimilar metals,6,EA,
Lighting,Recessed Downlights L-1,Recessed downlight fixtures,Various Locations,LED recessed fixtures,8,EA,
Lighting,Sconce Fixtures L-2,Wall sconce fixtures,Bathroom,Wall mounted,2,EA,
Lighting,Track Round Lights L-3A,Track lighting round fixtures,Kitchen,Track mounted,4,EA,
Lighting,Track Linear Lights L-3B,Track lighting linear fixtures,Kitchen,Track mounted,3,EA,
Lighting,Under Cabinet Lights L-3C,Under cabinet lighting,Kitchen,LED strip or puck lights,6,EA,
Lighting,Linear Fixtures L-4,Linear light fixtures,Various Locations,Surface or recessed mounted,2,EA,
Lighting,Wet Location Lights L-5,Recessed downlight wet proof,Bathroom,Wet location rated,2,EA,
Lighting,Track Under Cabinet L-6,Track under cabinet lighting,Kitchen,Track system,1,LS,
Lighting,Track Linear L-7,Track linear fixtures,Kitchen,Track system,2,EA,
Lighting,Round Fixtures L-8,Round light fixtures,Various Locations,Surface mounted,2,EA,
Electrical,Duplex Outlets,New duplex outlets,Throughout,Standard 15A outlets,12,EA,
Electrical,GFCI Outlets,New GFCI outlets,Kitchen & Bathroom,Ground fault protected,8,EA,
Electrical,Dedicated Outlets,New dedicated outlets,Kitchen,For appliances,4,EA,
Electrical,Exterior GFCI,New exterior GFCI outlets,Exterior,Weather resistant,1,EA,
Electrical,Single Switches,Single pole switches,Various Locations,Standard toggle or rocker,8,EA,
Electrical,Multi-Way Switches,Multi-way switches,Various Locations,3-way and 4-way,4,EA,
Electrical,Dimmer Switches,Dimmer switches,Various Locations,LED compatible,6,EA,
Electrical,Zoned Switches,Zoned switches,Kitchen,For track lighting,2,EA,
Electrical,GFCI Plug Mold,Continuous GFCI plug mold,Kitchen,Under cabinet installation,8,LF,
Electrical,Branch Circuits,New branch circuits,Throughout,For kitchen appliances and general use,6,EA,
Electrical,Panel Modifications,Electrical panel modifications,Electrical Room,New breakers and circuits,1,LS,
HVAC,Ductwork Extension,Extend ductwork to new wall,Bathroom,For exhaust fan,8,LF,
HVAC,Louver,New louver,Bathroom,For exhaust fan,1,EA,
HVAC,Sprinkler Maintenance,Maintain sprinkler head,Kitchen,At face of new soffit,1,EA,
Special Construction,Platform Landing,New platform landing framing,Stair Area,Structural framing,1,LS,
Special Construction,Stair Construction,New stair with metal baluster,Stair Area,Wood handrail and metal balusters,1,LS,
Special Construction,Wall Reinforcement,Reinforce wall for future stair lift,Stair Area,Structural reinforcement,1,LS,
Special Construction,Wood Blocking,Wood blocking for grab bars,Bathroom,Behind wall finish,4,EA,
Special Construction,Interior Window,New interior window,Kitchen,Between kitchen and living area,1,EA,
Special Construction,Millwork Doors,New millwork doors and trim,Various Locations,Finish materials from Bottega,3,EA,
Fire Safety,Smoke Alarms,Single/multiple station smoke alarms,Throughout,UL 217 compliant,4,EA,
Fire Safety,Carbon Monoxide Alarms,CO alarms and detectors,Throughout,UL 2034 and UL 2075 listed,2,EA,
Fire Safety,Fire Stopping,Fire-resistant penetrations,All Penetrations,UL tested systems,1,LS,
Permits,Building Permit,NYC DOB building permit,Project,Required permits and fees,1,LS,
Permits,Plumbing Permit,NYC DOB plumbing permit,Project,Separate application,1,LS,
Permits,Electrical Permit,NYC DOB electrical permit,Project,Required inspections,1,LS,
Testing,Pressure Testing,Gas line pressure testing,Gas Lines,As mandated by code,1,LS,
Testing,Waterproofing Testing,Waterproofing membrane testing,Wet Areas,Performance verification,1,LS,
Testing,Fire Rating Testing,Fire-stopping inspection,All Penetrations,Code compliance verification,1,LS,
Cleanup,Construction Cleanup,Daily cleanup and debris removal,Throughout,Ongoing during construction,1,LS,
Cleanup,Final Cleanup,Final cleaning,Throughout,Complete project cleanup,1,LS,

