Category,Item,Description,Location,Specification,Quantity,Unit,Cost_Per_Unit,Subtotal,Total
Tile Work,Bathroom Wall Tile,12x24 Bryce tile,Bathroom/Shower,Nemo pearle/stuta rio,180,SF,18.50,3330,3330
Tile Work,Kitchen Backsplash,Silestone countertop material,Kitchen,White with veining polished 1-1/4" thick,25,SF,85,2125,2125
Tile Work,Bathroom Base,6x18 bullnose base tile,Bathroom,Nemo retroactive 2.0 snowblind,20,LF,22.50,450,450
Waterproofing,Laticrete 9235 Membrane,Waterproof membrane system,Bathroom/Kitchen,Under all wet areas,200,SF,8.75,1750,1750
Waterproofing,Hydroban System,Laticrete Hydroban waterproofing,Shower Area,6" up adjacent walls,85,SF,12.50,1062.50,1062.50
Cabinetry,Kitchen Upper Cabinets,White lacquer full overlay cabinets,Kitchen,Bottega custom cabinetry,18,LF,450,8100,8100
Cabinetry,Kitchen Lower Cabinets,Oak wood veneer full overlay cabinets,Kitchen,Bottega custom cabinetry,22,LF,520,11440,11440
Cabinetry,Storage Cabinets,Various storage and specialty cabinets,Kitchen/Living,Pull-out accessories magic corner,8,EA,650,5200,5200
Cabinetry,Laundry Closet Doors,Oak wood veneer full overlay doors,Laundry Closet,Bottega assembly and installation,2,EA,850,1700,1700
Countertops,Kitchen Counter,Silestone Ethereal Glow,Kitchen,1-1/4" thick polished squared edges,35,SF,125,4375,4375
Countertops,Bathroom Shelf,Thassos marble or approved equal,Bathroom,White stone niche,2,SF,95,190,190
Plumbing,Kitchen Sink,30" Rowena Farmhouse single basin,Kitchen,Signature Hardware white #SHF3017,1,EA,850,850,850
Plumbing,Kitchen Faucet,Holborn kitchen faucet,Kitchen,Perrin & Rowe U.4047L-APC-2 chrome,1,EA,1250,1250,1250
Plumbing,Soap Dispenser,Kitchen soap dispenser,Kitchen,Perrin & Rowe,1,EA,185,185,185
Plumbing,Glass Rinser,Metal glass rinser,Kitchen,Delta GR-250 chrome,1,EA,275,275,275
Plumbing,Bathroom Lavatory,Lavatory and vanity,Bathroom,Bottega white/glass,1,EA,1850,1850,1850
Plumbing,Bathroom Faucet,Single hole faucet and drain,Bathroom,Fantini F3402F004WU chrome,1,EA,950,950,950
Plumbing,Toilet,Legato toilet,Bathroom,TOTO white,1,EA,650,650,650
Plumbing,Shower Thermostatic Mixer,Shower mixer rough and trim,Bathroom,Fantini 1900 D400AU chrome,1,EA,1450,1450,1450
Plumbing,Shower Diverter,2-way diverter with volume control,Bathroom,Fantini 1900D391AU chrome,1,EA,850,850,850
Plumbing,Shower Head,Fixed shower head,Bathroom,Fantini 7702 7137UC 1.8GPM chrome,1,EA,425,425,425
Plumbing,Hand Shower,Handheld shower set,Bathroom,Fantini Icona Classic 7302 R043U,1,EA,650,650,650
Plumbing,Shower Pan,Alcove shower pan,Bathroom,MTI 30"x60",1,EA,1250,1250,1250
Plumbing,Shower Drain,Linear shower drain,Bathroom,Infinity Drain LDQ 7-2I 6"x6",1,EA,485,485,485
Plumbing,Medicine Cabinet,Recessed medicine cabinet,Bathroom,Bottega 30"x4"x29",1,EA,750,750,750
Plumbing,Grab Bar,ADA compliant grab bar,Bathroom,Kartners 72791124 24" chrome,1,EA,285,285,285
Plumbing,Accessories,Towel rods and toilet paper dispenser,Bathroom,Re-use existing plus new robe hooks,4,EA,125,500,500
Appliances,Dishwasher,Panel ready dishwasher,Kitchen,Miele G7472SCVI 18x24x34,1,EA,2850,2850,2850
Appliances,Refrigerator,Existing refrigerator,Kitchen,Fisher Paykel existing,1,EA,0,0,0
Appliances,Oven,Existing oven,Kitchen,Existing to remain,1,EA,0,0,0
Appliances,Washer,Existing washer,Laundry,Re-install existing,1,EA,0,0,0
Appliances,Dryer,Existing dryer,Laundry,Re-install existing,1,EA,0,0,0
Mechanical,Exhaust Fan,Bathroom exhaust fan,Bathroom,Panasonic FV0511VKS3S 75 CFM,1,EA,385,385,385
Mechanical,Ductwork,Extend ductwork to new wall location,Bathroom,Louver and ductwork extension,1,LS,450,450,450
Electrical,GFCI Outlets,New GFCI outlets,Kitchen/Bathroom,Code required locations,8,EA,125,1000,1000
Electrical,Standard Outlets,New duplex outlets,Various,Additional outlets as required,12,EA,85,1020,1020
Electrical,Switches,New switches and dimmers,Various,Multi-way and dimmer switches,10,EA,95,950,950
Electrical,Continuous Plug Mold,GFCI plug mold under cabinetry,Kitchen,Underside of cabinetry,12,LF,45,540,540
Electrical,Panel Modifications,Electrical panel modifications,Service Area,Separate circuits for appliances,1,LS,850,850,850
Lighting,Recessed Downlights,LED recessed downlights,Various,L-1 through L-8 fixtures,15,EA,185,2775,2775
Lighting,Track Lighting,Linear track lighting,Kitchen/Living,Under cabinet and accent lighting,8,EA,225,1800,1800
Lighting,Sconce Fixtures,Wall mounted sconces,Bathroom,L-2 bathroom sconces,2,EA,285,570,570
Lighting,Ceiling Fan,Re-install existing ceiling fan,Bedroom,Save and protect for re-installation,1,EA,150,150,150
Painting,Ceiling Paint,Super white matte paint,All Ceilings,Benjamin Moore,1200,SF,2.25,2700,2700
Painting,Trim Paint,White satin paint,All Trim,Benjamin Moore,400,LF,3.50,1400,1400
Painting,Wall Paint - Bath,White matte paint,Bathroom,Benjamin Moore,180,SF,2.75,495,495
Painting,Wall Paint - Living,White eggshell paint,Living/Kitchen/Corridor,Benjamin Moore,800,SF,2.50,2000,2000
Painting,Kitchen Garage Paint,Pacific Rim green matte,Kitchen Garage,Benjamin Moore #678,25,SF,3.25,81.25,81.25
Stairs,Stair Construction,New stair and metal baluster/wood handrail,Living/Dining,Custom stair construction,1,LS,3500,3500,3500
Stairs,Stair Refinishing,Refinish steps to match new floor,Stairs,Match new floor finish/stain,8,EA,125,1000,1000
Windows,Interior Window,New interior window,Between Kitchen/Living,Custom installation,1,EA,1250,1250,1250
Windows,Window Sill Refinish,Refinish window sill,Bedroom,Match new floor finish,1,EA,185,185,185
Millwork,Custom Millwork,Doors and trim from Bottega,Various,Finish materials from Bottega,1,LS,2500,2500,2500
Permits,Building Permits,DOB permits and inspections,Project,All required permits,1,LS,2500,2500,2500
Permits,Plumbing Permits,Plumbing permits and inspections,Project,Separate plumbing application,1,LS,1200,1200,1200
General,Cleanup,Construction cleanup,All Areas,Daily and final cleanup,1,LS,1500,1500,1500
General,Protection,Temporary protection,All Areas,Protect existing finishes,1,LS,800,800,800

