Category,Item,Description,Location,Specification,Quantity,Unit,Cost
MILLWORK,Upper Cabinets,Bottega Full Overlay White Lacquer Finish,Kitchen,M1 - White matte finish upper cabinets,20,LF,
MILLWORK,Lower Cabinets White,Bottega Full Overlay White Lacquer Finish,Kitchen,M1 - White matte finish lower cabinets,15,LF,
MILLWORK,Lower Cabinets Wood,Bottega Full Overlay Oak Wood Veneer,Kitchen,M2 - Oak wood veneer lower cabinets,10,LF,
MILLWORK,Closet Doors,Bottega Full Overlay Oak Wood Veneer,Laundry Closet,M3 - Oak wood veneer closet doors,1,PR,
MILLWORK,Cabinet Hardware,Pulls and hinges for all cabinetry,Kitchen & Closet,Soft-close hinges and pulls,35,EA,
MILLWORK,Adjustable Shelves,Adjustable shelving for cabinets,Kitchen,Various configurations,20,EA,
MILLWORK,Pull-out Accessories,Spice pull-out trash/recycle magic corner,Kitchen,Specialized cabinet accessories,8,EA,
MILLWORK,Appliance Garage,Touch latch door appliance storage,Kitchen,Panel ready with no pull-out,1,EA,
MILLWORK,Drying Racks,Dish and glassware drying racks,Kitchen,Upper cabinet accessories,2,EA,
FLOORING,Wood Floor Refinishing,Sand stain and seal existing oak floors,Living Dining Bedroom Corridor,FL-1 - Minwax or approved equal 3 coats water-based sealer,800,SF,
FLOORING,Kitchen Tile,Tiles by Victoria Galaxy 24x24 Rectified Porcelain,Kitchen,FL-2 - White/matte finish,100,SF,
FLOORING,Bathroom Tile,Nemo Retroactive 2.0 12x12,Bathroom,FL-3 - Snowblind finish,50,SF,
FLOORING,Carpet Protection,Protect existing carpet during construction,Bedroom Platform,FL-4 - Existing carpet to remain,1,LS,
FLOORING,Wood Trim,Wood trim to match FL-1,Various Locations,FL-5 - Match existing wood floors,200,LF,
FLOORING,Threshold,Schluter threshold tile to wood flooring,Transitions,TH-1 - 1/8" thickness,6,EA,
FLOORING,Existing Trim Refinish,Refinish existing wood trim/sill to match FL-1,Various Locations,TR-1 - Match new floor finish and stain,1,LS,
WALL FINISHES,Bath Wall Tile,Nemo Bryce 12x24,Bathroom Shower,W-1 - Pearle/Stuta Rio finish,200,SF,
WALL FINISHES,Kitchen Backsplash,Silestone 1-1/4" thick,Kitchen,W-2 - White with veining polished squared edges,50,SF,
WALL FINISHES,Ceiling Paint,Benjamin Moore Super White,All Ceilings,PT-1 - Matte finish,800,SF,
WALL FINISHES,Trim Paint,Benjamin Moore White,All Trim,PT-2 - Satin finish,500,LF,
WALL FINISHES,Bath Wall Paint,Benjamin Moore White,Bathroom Walls,PT-3 - Matte finish,200,SF,
WALL FINISHES,Wall Paint,Benjamin Moore White,Living Kitchen Corridor Walls,PT-4 - Eggshell finish,1200,SF,
WALL FINISHES,Garage Paint,Benjamin Moore #678 Pacific Rim,Kitchen Garage,PT-5 - Green matte finish,20,SF,
COUNTERTOPS,Kitchen Counter,Silestone,Kitchen,ST-1 - White with veining 1-1/4" thick polished squared edges,25,SF,
COUNTERTOPS,Bath Shelf,Thassos or approved equal,Bathroom,ST-2 - White stone bath shelf/niche,2,SF,
WALL BASE,Painted Wood Base,Painted wood to match existing,Various Locations,B-1 - Match existing base,300,LF,
WALL BASE,Bath Base,Nemo Retroactive 2.0 6x18 Bullnose,Bathroom,B-2 - Snowblind finish,30,LF,
LIGHTING,Recessed Downlights,Recessed down light fixtures,Various Locations,L-1 - LED recessed fixtures,8,EA,
LIGHTING,Sconce Fixtures,Wall sconce fixtures,Bathroom,L-2 - Wall mounted,2,EA,
LIGHTING,Track Round Lights,Track lighting round light fixtures,Kitchen,L-3A - Track mounted,6,EA,
LIGHTING,Track Linear Lights,Track lighting linear fixtures,Kitchen,L-3B - Track mounted,4,EA,
LIGHTING,Under Cabinet Lights,Track lighting under cabinet fixtures,Kitchen,L-3C - Under cabinet mounted,8,EA,
LIGHTING,Linear Fixtures,Linear light fixtures,Various Locations,L-4 - Surface or recessed mounted,3,EA,
LIGHTING,Wet Location Lights,Recessed down light wet proof,Bathroom,L-5 - Wet location rated,2,EA,
LIGHTING,Track Under Cabinet,Track lighting under cabinet,Kitchen,L-6 - Under cabinet track,1,LS,
LIGHTING,Track Linear System,Track lighting linear system,Kitchen,L-7 - Track system,1,LS,
LIGHTING,Round Fixtures,Round light fixtures,Various Locations,L-8 - Ceiling mounted,2,EA,
WATERPROOFING,Bath Membrane,Laticrete 9235 Waterproof Membrane,Bathroom,Applied under all bath walls floor & tub,300,SF,
WATERPROOFING,Kitchen Membrane,Laticrete 9235 Waterproof Membrane,Kitchen,Applied under all kitchen floor areas,100,SF,
WATERPROOFING,Hydroban,Laticrete Hydroban Waterproofing,Wet Areas,Additional waterproofing as required,200,SF,
WATERPROOFING,Grout,Laticrete 254 Platinum Grout,All Tile Areas,Premium grout for all tile installations,50,LB,
WATERPROOFING,Mortar,Laticrete 226 Thick Bed Mortar with 3701 Mortar Admix,Tile Areas,Minimum 2" thick wire reinforced,100,SF,
WATERPROOFING,Sealant,Laticrete Latasil,All Joints,Sealant for all tile joints,20,LF,
ELECTRICAL,GFCI Outlets,GFCI outlets as required by code,Kitchen Bathroom,Code compliant GFCI protection,8,EA,
ELECTRICAL,Standard Outlets,New electrical outlets,Various Locations,Standard duplex outlets,12,EA,
ELECTRICAL,Switches,New electrical switches,Various Locations,Standard wall switches,10,EA,
ELECTRICAL,GFCI Plug Mold,Continuous GFCI plug mold,Kitchen,Under cabinet continuous power,10,LF,
ELECTRICAL,Panel Modifications,Electrical panel modifications,Electrical Room,As needed for new circuits,1,LS,
ELECTRICAL,Intercom Connections,Intercom system connections,Various Locations,Building intercom system,2,EA,
MECHANICAL,Exhaust Fan,Panasonic FV0511VKS3S,Bathroom,75 CFM at 0.025" static pressure,1,EA,
MECHANICAL,Ductwork,Ductwork extensions to new wall locations,Bathroom,Extend existing ductwork,20,LF,
MECHANICAL,Louvers,Louvers and ventilation components,Bathroom,Ventilation louvers,2,EA,
MECHANICAL,Sprinkler Maintenance,Maintain sprinkler head at face of new soffit,Kitchen,Coordinate with new construction,1,EA,
GENERAL,Permits,Building permits and approvals,Project Wide,All required NYC DOB permits,1,LS,
GENERAL,Protection,Temporary protection during construction,Project Wide,Protect existing conditions,1,LS,
GENERAL,Cleanup,Construction cleanup and debris removal,Project Wide,Daily cleanup and final cleaning,1,LS,
GENERAL,Testing,Required testing and inspections,Project Wide,All code required testing,1,LS,

