Category,Item,Description,Location,Specification,Quantity,Unit,Cost_Per_Unit,Subtotal,Total
Plumbing,Shower Mixer Trim,Install shower mixer trim,Bathroom,Fantini Icona Deco 8702R700BU,1,EA,420,420,420
Plumbing,Shower Diverter,Install 2-way diverter with volume control,Bathroom,Fantini 1900D391AU Chrome,1,EA,380,380,380
Plumbing,Shower Head,Install shower head,Bathroom,Fantini 8602 8138UC 1.8GPM Chrome,1,EA,280,280,280
Plumbing,Hand Shower,Install hand held shower,Bathroom,Fantini Icona Classic 8302R043U,1,EA,320,320,320
Plumbing,Shower Pan,Install acrylic shower pan,Bathroom,MTI Alcove 30"x60",1,EA,850,850,850
Plumbing,Shower Drain,Install linear drain,Bathroom,Infinity Drain LDQ 6-2I 6"x6",1,EA,450,450,450
Plumbing,Hot Water Piping,Install new hot water branch piping,Kitchen/Bath,Copper with insulation,80,LF,18,1440,1440
Plumbing,Cold Water Piping,Install new cold water branch piping,Kitchen/Bath,Copper with insulation,80,LF,16,1280,1280
Plumbing,Waste Piping,Install new waste piping,Kitchen/Bath,PVC/ABS as required,60,LF,22,1320,1320
Plumbing,Shut-off Valves,Install new shut-off valves,Various,Ball valves at each connection,12,EA,45,540,540
Appliances,Dishwasher,Install new dishwasher,Kitchen,Miele G6472SCVI 18"x24"x34" panel ready,1,EA,1200,1200,1200
Appliances,Washer Reinstall,Reinstall existing washer,Laundry Closet,Reconnect to new plumbing,1,EA,150,150,150
Appliances,Dryer Reinstall,Reinstall existing dryer,Laundry Closet,Reconnect utilities,1,EA,100,100,100
Electrical,New Outlets,Install new electrical outlets,Various,GFCI where required by code,15,EA,85,1275,1275
Electrical,Continuous GFCI Plug Mold,Install under-cabinet plug mold,Kitchen,Continuous GFCI protection,12,LF,35,420,420
Electrical,Circuit Breakers,Install new circuit breakers,Panel,For new appliances and outlets,4,EA,75,300,300
Electrical,Electrical Rough-in,Install new electrical rough-in,Various,Conduit and wire,1,LS,1200,1200,1200
Lighting,Recessed Downlights,Install LED recessed downlights,Various,L-1 fixtures per schedule,8,EA,120,960,960
Lighting,Track Lighting,Install track lighting system,Kitchen,L-3A/3B/3C fixtures,3,EA,180,540,540
Lighting,Under Cabinet Lighting,Install under cabinet LED lighting,Kitchen,L-6 linear fixtures,8,LF,45,360,360
Lighting,Sconce Fixtures,Install wall sconce fixtures,Bathroom,L-2 fixtures per schedule,2,EA,150,300,300
Lighting,Linear Fixtures,Install linear light fixtures,Various,L-4/L-7/L-8 per schedule,4,EA,200,800,800
Mechanical,Exhaust Fan,Install new bathroom exhaust fan,Bathroom,Panasonic FV0511VKS3S 75 CFM,1,EA,280,280,280
Mechanical,Ductwork,Install exhaust fan ductwork,Bathroom,Extend to new wall location,15,LF,25,375,375
Mechanical,Louver,Install exterior louver,Bathroom,Coordinate with ductwork,1,EA,120,120,120
Hardware,Grab Bar,Install ADA grab bar,Bathroom,Kartners 829124 24" Chrome,1,EA,180,180,180
Hardware,Towel Rods,Reinstall existing towel rods,Bathroom,2 quantity - reuse existing,2,EA,25,50,50
Hardware,Robe Hooks,Install robe hooks,Bathroom,2 quantity,2,EA,35,70,70
Hardware,Door Hardware,Install door hardware,Various,Hinges handles and locks,6,SET,85,510,510
Stairs,Stair Construction,Install new stair with metal baluster,Living Area,Wood handrail metal baluster,1,LS,2500,2500,2500
Stairs,Stair Reinforcement,Reinforce existing wall for future stair lift,Living Area,Structural reinforcement,1,LS,800,800,800
Paint,Ceiling Paint,Paint ceilings throughout,All Areas,Benjamin Moore Super White Matte,1200,SF,1.5,1800,1800
Paint,Trim Paint,Paint trim throughout,All Areas,Benjamin Moore White Satin,400,LF,2,800,800
Paint,Wall Paint - Bath,Paint bathroom walls,Bathroom,Benjamin Moore White Matte,180,SF,2,360,360
Paint,Wall Paint - Living,Paint living/kitchen/corridor walls,Living Areas,Benjamin Moore White Eggshell,800,SF,2,1600,1600
Paint,Wall Paint - Kitchen Garage,Paint kitchen garage,Kitchen,Benjamin Moore Green Matte #678,60,SF,2.5,150,150
Insulation,Wall Insulation,Install Roxul AFB insulation,New Walls,In metal stud cavities,200,SF,3,600,600
Insulation,Pipe Insulation,Insulate hot and cold water piping,Throughout,Required by code,160,LF,4,640,640
Waterproofing,Shower Waterproofing,Install waterproof membrane system,Bathroom,Laticrete 9235 complete system,80,SF,8,640,640
Waterproofing,Kitchen Waterproofing,Install waterproof membrane,Kitchen,Under cabinets and appliances,120,SF,6,720,720
Permits,Building Permit,Obtain building department permits,Project,All required permits and fees,1,LS,1500,1500,1500
Permits,Plumbing Permit,Obtain plumbing permits,Project,Filed under separate application,1,LS,800,800,800
Permits,Electrical Permit,Obtain electrical permits,Project,All electrical work permits,1,LS,600,600,600
General,Cleanup,Construction cleanup,Throughout,Daily and final cleanup,1,LS,800,800,800
General,Protection,Protect existing conditions,Throughout,During construction,1,LS,500,500,500
General,Temporary Utilities,Maintain temporary utilities,Throughout,During construction period,1,LS,400,400,400

