Category,Item,Description,Location,Specification,Quantity,Unit,Cost
WALL FINISHES,Paint - Bath Walls,Benjamin Moore wall paint,Bathroom Walls,White matte finish,120,SF,
WALL FINISHES,Paint - Living/Kitchen Walls,Benjamin Moore wall paint,Living/Kitchen/Corridor,White eggshell finish,450,SF,
WALL FINISHES,Paint - Kitchen Garage,Benjamin Moore wall paint,Kitchen Garage Area,Green #678 Pacific Rim matte,25,SF,
COUNTERTOPS,Kitchen Counter,Silestone countertop,Kitchen,White with veining polished 1-1/4" thick squared edges,28,SF,
COUNTERTOPS,Bathroom Shelf,Thassos marble shelf/niche,Bathroom Shower,White natural stone,2,SF,
BASE TRIM,Painted Wood Base,Wood base trim painted to match existing,General Areas,Match existing profile,180,LF,
BASE TRIM,Bathroom Tile Base,Retroactive 2.0 6x18 bullnose base,Bathroom,Snowblind color with 1/16" grout,25,LF,
CABINETRY,Kitchen Upper Cabinets,White lacquer full overlay cabinets,Kitchen,Bottega brand with adjustable shelves,12,LF,
CABINETRY,Kitchen Lower Cabinets - White,White lacquer full overlay cabinets,Kitchen/Living,Bottega brand with pull-out accessories,8,LF,
CABINETRY,Kitchen Lower Cabinets - Wood,Oak wood veneer full overlay cabinets,Kitchen,Bottega brand with magic corner pull-out,6,LF,
CABINETRY,Closet Doors,Oak wood veneer full overlay doors,Laundry Closet,Bottega brand assembly and installation,2,EA,
CABINETRY,Medicine Cabinet,Recessed medicine cabinet,Bathroom,Bottega 30"x4"x29",1,EA,
APPLIANCES,Dishwasher,Miele dishwasher,Kitchen,G4472SCVI 18"x24"x34" panel ready,1,EA,
APPLIANCES,Exhaust Fan,Panasonic exhaust fan,Bathroom,FV0511VKS3S 75 CFM at 0.025" static pressure,1,EA,
PLUMBING,Kitchen Sink,Signature Hardware farmhouse sink,Kitchen,30" Rowena single basin #SHF30127 white,1,EA,
PLUMBING,Kitchen Faucet,Perrin & Rowe kitchen faucet,Kitchen,U3404L-APC-2 Holborn chrome,1,EA,
PLUMBING,Soap Dispenser,Perrin & Rowe soap dispenser,Kitchen,Chrome finish,1,EA,
PLUMBING,Glass Rinser,Delta glass washer/rinser,Kitchen,GR-250 chrome,1,EA,
PLUMBING,Bathroom Lavatory,Bottega lavatory and vanity,Bathroom,White/glass finish,1,EA,
PLUMBING,Bathroom Faucet,Fantini single hole faucet,Bathroom,F3402F004WU chrome,1,EA,
PLUMBING,Sink Drain,Fantini pop-up drain,Bathroom,F910 1-1/4" universal,1,EA,
PLUMBING,Toilet,Toto Legato toilet,Bathroom,White finish,1,EA,
PLUMBING,Shower Therm Mixer Rough,Fantini thermostatic shower mixer rough,Bathroom,1900D400AU chrome,1,EA,
PLUMBING,Shower Therm Mixer Trim,Fantini thermostatic shower mixer trim,Bathroom,Icona Deco 8702R700BU 8.9/7.6GPM,1,EA,
PLUMBING,Shower 2-Way Diverter Rough,Fantini 2-way diverter with volume control rough,Bathroom,1900D391AU chrome,1,EA,
PLUMBING,Shower 2-Way Diverter Trim,Fantini 2-way diverter with volume control trim,Bathroom,Icona Classic 5302R691BU,1,EA,
PLUMBING,Shower Arm,Fantini shower arm,Bathroom,8602923GU chrome,1,EA,
PLUMBING,Shower Head,Fantini shower head,Bathroom,7502713GUC 1.8GPM chrome,1,EA,
PLUMBING,Handheld Shower,Fantini handheld shower,Bathroom,Multiple options available,1,EA,
PLUMBING,Shower Pan,MTI alcove shower pan,Bathroom,30"x60",1,EA,
PLUMBING,Shower Drain,ID Infinity drain,Bathroom,LDQ 5-2I 5"x5",1,EA,
PLUMBING,Towel Rod,Re-use existing towel rod,Bathroom,Save and reinstall,2,EA,
PLUMBING,T.T. Dispenser,Re-use existing toilet tissue dispenser,Bathroom,Save and reinstall,1,EA,
PLUMBING,Robe Hook,New robe hooks,Bathroom,TBD specification,2,EA,
PLUMBING,Grab Bar,Kartners grab bar,Bathroom,72791124 24" chrome,1,EA,
ELECTRICAL,Recessed Downlight,LED recessed downlight fixture,Various,L-1 specification,8,EA,
ELECTRICAL,Sconce Fixture,Wall-mounted sconce,Bathroom,L-2 specification,2,EA,
ELECTRICAL,Track Lighting Round,Round track light fixture,Kitchen,L-3A specification,4,EA,
ELECTRICAL,Track Lighting Linear,Linear track light fixture,Kitchen,L-3B specification,3,EA,
ELECTRICAL,Under Cabinet Lighting,Under cabinet track lighting,Kitchen,L-3C specification,6,EA,
ELECTRICAL,Linear Fixture,Linear light fixture,Various,L-4 specification,2,EA,
ELECTRICAL,Recessed Wet Proof,Wet location recessed light,Bathroom,L-5 specification,2,EA,
ELECTRICAL,Track Under Cabinet,Track lighting under cabinet,Kitchen,L-6 specification,4,EA,
ELECTRICAL,Track Linear,Track lighting linear,Kitchen,L-7 specification,2,EA,
ELECTRICAL,Under Cabinet Track,Under cabinet track lighting,Kitchen,L-8 specification,3,EA,
ELECTRICAL,GFCI Outlets,Ground fault circuit interrupter outlets,Kitchen/Bathroom,Code required locations,8,EA,
ELECTRICAL,Dedicated Outlets,Dedicated appliance outlets,Kitchen,For appliances,4,EA,
ELECTRICAL,GFCI Plug Mold,Continuous GFCI plug mold,Kitchen,Underside of cabinetry,12,LF,
ELECTRICAL,Quad Outlets,New quad electrical outlets,Various,Standard specification,6,EA,
ELECTRICAL,Exterior GFCI,Exterior GFCI outlets,Exterior,Weather resistant,2,EA,
WATERPROOFING,Laticrete 9235 Membrane,Waterproof membrane system,Bathroom,Under all bath walls floor & tub turn up 6",180,SF,
WATERPROOFING,Kitchen Waterproofing,Laticrete 9235 waterproof membrane,Kitchen,Turn up 6" at all walls,35,SF,
WATERPROOFING,Cement Board,5/8" cement board backing,Bathroom,Continuous reinforced at wet areas,120,SF,
WATERPROOFING,Thin Set Mortar,Laticrete thin set mortar,Bathroom/Kitchen,For tile installation,8,BAG,
WATERPROOFING,Mortar Bed,Laticrete 226 thick bed mortar,Bathroom,Mixed with 3701 mortar admix min 2" thick,4,BAG,
HVAC,Exhaust Fan,Panasonic bathroom exhaust fan,Bathroom,FV0511VKS3S 75 CFM at 0.025" static,1,EA,
HVAC,Ductwork,Exhaust fan ductwork,Bathroom,Louver and ductwork to new wall location,15,LF,
HVAC,Louver,Exterior exhaust louver,Exterior Wall,Relocate to new position,1,EA,
SPECIALTIES,Sprinkler Head Relocation,Maintain existing sprinkler head,Kitchen,At face of new soffit,1,EA,
SPECIALTIES,Stair Reinforcement,Reinforce existing wall,Stair Area,For future stair lift installation,1,LS,
SPECIALTIES,Glass Shower Doors,Glass bypass shower doors,Bathroom,4'-10" opening,1,SET,
SPECIALTIES,Recessed Storage Cabinet,Recessed storage cabinet,Bathroom,VIF specification,1,EA,
SPECIALTIES,Floating Shelves,Floating shelves,Storage Areas,VIF location,4,EA,
GENERAL CONDITIONS,Permits,Building permits and approvals,Project Wide,All required NYC DOB permits,1,LS,
GENERAL CONDITIONS,Insurance,Contractor insurance certificates,Project Wide,As required by building department,1,LS,
GENERAL CONDITIONS,Tenant Protection,Tenant protection plan implementation,Project Wide,Per Local Law requirements,1,LS,
GENERAL CONDITIONS,Dust Control,Dust control and debris management,Project Wide,Daily cleanup and removal,1,LS,
GENERAL CONDITIONS,Final Cleanup,Final cleaning and touch-up,Project Wide,Complete project cleanup,1,LS,

